file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,45,css,8efcfb62,Michael Petersen,2026-04-06,16:28:35,-07:00,2026-04-06T16:28:35-07:00,0,0
style.css,46,css,8efcfb62,Michael Petersen,2026-04-06,16:28:35,-07:00,2026-04-06T16:28:35-07:00,0,0
style.css,47,css,8efcfb62,Michael Petersen,2026-04-06,16:28:35,-07:00,2026-04-06T16:28:35-07:00,0,8
style.css,48,css,8efcfb62,Michael Petersen,2026-04-06,16:28:35,-07:00,2026-04-06T16:28:35-07:00,1,16
style.css,49,css,8efcfb62,Michael Petersen,2026-04-06,16:28:35,-07:00,2026-04-06T16:28:35-07:00,1,25
style.css,50,css,8efcfb62,Michael Petersen,2026-04-06,16:28:35,-07:00,2026-04-06T16:28:35-07:00,1,25
style.css,51,css,25d334e5,Michael Petersen,2026-04-15,19:27:10,-07:00,2026-04-15T19:27:10-07:00,1,39
style.css,52,css,8efcfb62,Michael Petersen,2026-04-06,16:28:35,-07:00,2026-04-06T16:28:35-07:00,1,20
style.css,53,css,6831e958,Michael Petersen,2026-04-06,16:49:47,-07:00,2026-04-06T16:49:47-07:00,0,0
style.css,54,css,6831e958,Michael Petersen,2026-04-06,16:49:47,-07:00,2026-04-06T16:49:47-07:00,0,0
style.css,55,css,25d334e5,Michael Petersen,2026-04-15,19:27:10,-07:00,2026-04-15T19:27:10-07:00,0,31
style.css,56,css,25d334e5,Michael Petersen,2026-04-15,19:27:10,-07:00,2026-04-15T19:27:10-07:00,1,19
style.css,57,css,6831e958,Michael Petersen,2026-04-06,16:49:47,-07:00,2026-04-06T16:49:47-07:00,0,0
style.css,58,css,6831e958,Michael Petersen,2026-04-06,16:49:47,-07:00,2026-04-06T16:49:47-07:00,0,0
style.css,59,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,0,4
style.css,60,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,1,12
style.css,61,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,1,30
style.css,62,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,1,7
style.css,63,css,6831e958,Michael Petersen,2026-04-06,16:49:47,-07:00,2026-04-06T16:49:47-07:00,0,0
style.css,64,css,6831e958,Michael Petersen,2026-04-06,16:49:47,-07:00,2026-04-06T16:49:47-07:00,0,0
style.css,65,css,6831e958,Michael Petersen,2026-04-06,16:49:47,-07:00,2026-04-06T16:49:47-07:00,0,10
style.css,66,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,1,18
style.css,67,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,1,12
style.css,68,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,1,29
style.css,69,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,0,0
style.css,70,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,0,0
style.css,71,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,0,6
style.css,72,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,1,18
style.css,73,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,0,0
style.css,74,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,0,0
style.css,75,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,0,9
style.css,76,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,1,12
style.css,77,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,1,58
style.css,78,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,1,7
style.css,79,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,0,0
style.css,80,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,0,0
style.css,81,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,0,17
style.css,82,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,1,12
style.css,83,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,1,15
style.css,84,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,1,26
style.css,85,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,1,7
style.css,86,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,0,0
style.css,87,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,0,0
style.css,88,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,0,20
style.css,89,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,1,8
style.css,90,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,0,0
style.css,91,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,0,0
style.css,92,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,0,22
style.css,93,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,1,15
style.css,94,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,1,17
style.css,95,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,0,0
style.css,96,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,0,0
style.css,97,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,0,2
style.css,98,css,072a694b,Michael Petersen,2026-04-08,21:40:15,-07:00,2026-04-08T21:40:15-07:00,1,14
style.css,99,css,9152293c,Michael Petersen,2026-04-08,21:48:23,-07:00,2026-04-08T21:48:23-07:00,0,0
style.css,100,css,9152293c,Michael Petersen,2026-04-08,21:48:23,-07:00,2026-04-08T21:48:23-07:00,0,0
style.css,101,css,9152293c,Michael Petersen,2026-04-08,21:48:23,-07:00,2026-04-08T21:48:23-07:00,0,8
style.css,102,css,9152293c,Michael Petersen,2026-04-08,21:48:23,-07:00,2026-04-08T21:48:23-07:00,1,17
style.css,103,css,9152293c,Michael Petersen,2026-04-08,21:48:23,-07:00,2026-04-08T21:48:23-07:00,1,17
style.css,104,css,9152293c,Michael Petersen,2026-04-08,21:48:23,-07:00,2026-04-08T21:48:23-07:00,1,18
style.css,105,css,9152293c,Michael Petersen,2026-04-08,21:48:23,-07:00,2026-04-08T21:48:23-07:00,0,0
style.css,106,css,9152293c,Michael Petersen,2026-04-08,21:48:23,-07:00,2026-04-08T21:48:23-07:00,0,0
style.css,107,css,9152293c,Michael Petersen,2026-04-08,21:48:23,-07:00,2026-04-08T21:48:23-07:00,0,7
style.css,108,css,9152293c,Michael Petersen,2026-04-08,21:48:23,-07:00,2026-04-08T21:48:23-07:00,1,38
